id;date;tests;confirmed;recovered;deaths;hosp;vent;icu;population;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;stringency_index;iso_alpha_3;iso_alpha_2;iso_numeric;currency;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;key_apple_mobility;key_google_mobility
AFG;2020-01-22;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-23;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-24;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-25;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-26;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-27;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-28;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-29;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-30;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
AFG;2020-01-31;0;0;0;0;0;0;0;37172386;0;0;0;0;0;0;0;0;0;0;0;0;AFG;AF;4;NA;1;Afghanistan;NA;NA;33;65;NA;AF
